IBERT instance name,Dir,A part,A inst,A pin name,A pin,A net,Coupling cap,B part,B inst,B pin name,B pin,B net,IO#
Quad_125/MGT_X0Y24,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_125,AL45,SLRX5_P<2>_C,C291,AFBR-821FH1Z,RX11,D2+,A2,MP_RXD_P<2>_14,02
Quad_125/MGT_X0Y25,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_125,AK38,-,-,-,-,-,-,-,-
Quad_125/MGT_X0Y25,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_125,AK43,SLRX5_N<4>_C,C293,AFBR-821FH1Z,RX11,D4-,B4,MP_RXD_N<4>_14,04
Quad_125/MGT_X0Y26,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_125,AJ40,-,-,-,-,-,-,-,-
Quad_125/MGT_X0Y26,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_125,AJ45,SLRX5_N<6>_C,C295,AFBR-821FH1Z,RX11,D6-,B6,MP_RXD_N<6>_14,06
Quad_125/MGT_X0Y27,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_125,AH38,-,-,-,-,-,-,-,-
Quad_125/MGT_X0Y27,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_125,AH43,SLRX5_N<8>_C,C297,AFBR-821FH1Z,RX11,D8-,B8,MP_RXD_N<8>_13,08
Quad_126/MGT_X0Y28,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_126,AG40,-,-,-,-,-,-,-,-
Quad_126/MGT_X0Y28,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_126,AG45,SLRX5_N<10>_C,C299,AFBR-821FH1Z,RX11,D10-,D8,MP_RXD_N<10>_13,10
Quad_126/MGT_X0Y29,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_126,AF38,-,-,-,-,-,-,-,-
Quad_126/MGT_X0Y29,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_126,AF43,SLRX5_P<11>_C,C301,AFBR-821FH1Z,RX11,D11+,F9,MP_RXD_P<11>_13,11
Quad_126/MGT_X0Y30,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_126,AE40,-,-,-,-,-,-,-,-
Quad_126/MGT_X0Y30,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_126,AE45,SLRX5_P<9>_C,C303,AFBR-821FH1Z,RX11,D9+,J8,MP_RXD_P<9>_13,09
Quad_126/MGT_X0Y31,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_126,AD38,-,-,-,-,-,-,-,-
Quad_126/MGT_X0Y31,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_126,AD43,SLRX5_P<7>_C,C305,AFBR-821FH1Z,RX11,D7+,J6,MP_RXD_P<7>_14,07
Quad_127/MGT_X0Y32,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_127,AC40,-,-,-,-,-,-,-,-
Quad_127/MGT_X0Y32,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_127,AC45,SLRX6_P<5>_C,C307,AFBR-821FH1Z,RX12,D5+,J4,MP_RXD_P<5>_15,05
Quad_127/MGT_X0Y33,O,XCVU160-H1FLGC2104,IC15,MGTYTXP1_127,AB38,-,-,-,-,-,-,-,-
Quad_127/MGT_X0Y33,I,XCVU160-H1FLGC2104,IC15,MGTYRXP1_127,AB43,SLRX6_P<3>_C,C309,AFBR-821FH1Z,RX12,D3+,J2,MP_RXD_P<3>_15,03
Quad_127/MGT_X0Y34,O,XCVU160-H1FLGC2104,IC15,MGTYTXP2_127,AA40,-,-,-,-,-,-,-,-
Quad_127/MGT_X0Y34,I,XCVU160-H1FLGC2104,IC15,MGTYRXP2_127,AA45,SLRX6_P<1>_C,C311,AFBR-821FH1Z,RX12,D1+,F1,MP_RXD_P<1>_15,01
Quad_127/MGT_X0Y35,O,XCVU160-H1FLGC2104,IC15,MGTYTXP3_127,Y38,-,-,-,-,-,-,-,-
Quad_127/MGT_X0Y35,I,XCVU160-H1FLGC2104,IC15,MGTYRXP3_127,Y43,SLRX6_P<0>_C,C313,AFBR-821FH1Z,RX12,D0+,D1,MP_RXD_P<0>_15,00
Quad_128/MGT_X0Y36,O,XCVU160-H1FLGC2104,IC15,MGTYTXP0_128,W40,-,-,-,-,-,-,-,-
Quad_128/MGT_X0Y36,I,XCVU160-H1FLGC2104,IC15,MGTYRXP0_128,W45,SLRX6_P<2>_C,C315,AFBR-821FH1Z,RX12,D2+,A2,MP_RXD_P<2>_15,02
