Pin  | Xilinx pin name                      | Schematics pin name                  | Schematics net name                  | Schematics net name with index      
AR45 | MGTYRXP2_125                         | MGTYRXP2_125                         | C2T_GT_N                             | C2T_GT_N<2>                         
AR44 | GND                                  | GND                                  | GND                                  | GND                                 
AR46 | MGTYRXN2_125                         | MGTYRXN2_125                         | C2T_GT_P                             | C2T_GT_P<2>                         
M5   | GND                                  | GND                                  | GND                                  | GND                                 
M4   | GND                                  | GND                                  | GND                                  | GND                                 
M7   | MGTHTXP1_231                         | MGTHTXP1_231                         | MPTX_P                               | MPTX_P<11>                          
M6   | MGTHTXN1_231                         | MGTHTXN1_231                         | MPTX_N                               | MPTX_N<11>                          
M1   | MGTHRXN1_231                         | MGTHRXN1_231                         | A2T_GT_P                             | A2T_GT_P<2>                         
M3   | GND                                  | GND                                  | GND                                  | GND                                 
M2   | MGTHRXP1_231                         | MGTHRXP1_231                         | A2T_GT_N                             | A2T_GT_N<2>                         
M9   | GND                                  | GND                                  | GND                                  | GND                                 
M8   | MGTAVTT_RN                           | MGTAVTT_RN                           | P1V2B                                | P1V2B                               
P10  | MGTREFCLK1N_230                      | MGTREFCLK1N_230                      | CTP_MGTCLK_N                         | CTP_MGTCLK_N                        
P11  | MGTREFCLK1P_230                      | MGTREFCLK1P_230                      | CTP_MGTCLK_P                         | CTP_MGTCLK_P                        
P12  | GND                                  | GND                                  | GND                                  | GND                                 
P13  | IO_L1P_T0L_N0_DBC_69                 | IO_L1P_T0L_N0_DBC_69                 | A2T_DP                               | A2T_DP<1>                           
P14  | IO_L2P_T0L_N2_69                     | IO_L2P_T0L_N2_69                     | A2T_DP                               | A2T_DP<6>                           
P15  | IO_L3N_T0L_N5_AD15N_69               | IO_L3N_T0L_N5_AD15N_69               | A2T_DN                               | A2T_DN<3>                           
P16  | IO_L4N_T0U_N7_DBC_AD7N_69            | IO_L4N_T0U_N7_DBC_AD7N_69            | A2T_DN                               | A2T_DN<7>                           
P17  | VCCO_70                              | VCCO_70                              | P1V8                                 | P1V8                                
P18  | IO_L2P_T0L_N2_70                     | IO_L2P_T0L_N2_70                     | A2T_DP                               | A2T_DP<25>                          
