Pin  | Pinout file pin name                 | Schematics pin name                  | Schematics net name                  | Schematics net name with index      
J42  | GXBL1M_RX_CH4n/GXBL1M_REFCLK4n       | GXBL1M_RX_CH4N/GXBL1M_REFCLK4N       | FEB_SX_R_N                           | FEB_SX_R_N<36>                      
J43  | GXBL1M_RX_CH4p/GXBL1M_REFCLK4p       | GXBL1M_RX_CH4P/GXBL1M_REFCLK4P       | FEB_SX_R_P                           | FEB_SX_R_P<36>                      
L46  | GXBL1M_TX_CH3n                       | GXBL1M_TX_CH3N                       | FEX_11_SX_N                          | FEX_11_SX_N<31>                     
L47  | GXBL1M_TX_CH3p                       | GXBL1M_TX_CH3P                       | FEX_11_SX_P                          | FEX_11_SX_P<31>                     
H44  | GXBL1M_RX_CH3n/GXBL1M_REFCLK3n       | GXBL1M_RX_CH3N/GXBL1M_REFCLK3N       | FEB_SX_R_N                           | FEB_SX_R_N<35>                      
H45  | GXBL1M_RX_CH3p/GXBL1M_REFCLK3p       | GXBL1M_RX_CH3P/GXBL1M_REFCLK3P       | FEB_SX_R_P                           | FEB_SX_R_P<35>                      
K48  | GXBL1M_TX_CH2n                       | GXBL1M_TX_CH2N                       | FEX_11_SX_N                          | FEX_11_SX_N<30>                     
K49  | GXBL1M_TX_CH2p                       | GXBL1M_TX_CH2P                       | FEX_11_SX_P                          | FEX_11_SX_P<30>                     
L42  | GXBL1M_RX_CH2n/GXBL1M_REFCLK2n       | GXBL1M_RX_CH2N/GXBL1M_REFCLK2N       | FEB_SX_R_N                           | FEB_SX_R_N<34>                      
L43  | GXBL1M_RX_CH2p/GXBL1M_REFCLK2p       | GXBL1M_RX_CH2P/GXBL1M_REFCLK2P       | FEB_SX_R_P                           | FEB_SX_R_P<34>                      
N46  | GXBL1M_TX_CH1n                       | GXBL1M_TX_CH1N                       | FEX_11_SX_N                          | FEX_11_SX_N<29>                     
N47  | GXBL1M_TX_CH1p                       | GXBL1M_TX_CH1P                       | FEX_11_SX_P                          | FEX_11_SX_P<29>                     
K44  | GXBL1M_RX_CH1n/GXBL1M_REFCLK1n       | GXBL1M_RX_CH1N/GXBL1M_REFCLK1N       | FEB_SX_R_N                           | FEB_SX_R_N<33>                      
K45  | GXBL1M_RX_CH1p/GXBL1M_REFCLK1p       | GXBL1M_RX_CH1P/GXBL1M_REFCLK1P       | FEB_SX_R_P                           | FEB_SX_R_P<33>                      
M48  | GXBL1M_TX_CH0n                       | GXBL1M_TX_CH0N                       | FEX_11_SX_N                          | FEX_11_SX_N<28>                     
M49  | GXBL1M_TX_CH0p                       | GXBL1M_TX_CH0P                       | FEX_11_SX_P                          | FEX_11_SX_P<28>                     
N42  | GXBL1M_RX_CH0n/GXBL1M_REFCLK0n       | GXBL1M_RX_CH0N/GXBL1M_REFCLK0N       | FEB_SX_R_N                           | FEB_SX_R_N<32>                      
N43  | GXBL1M_RX_CH0p/GXBL1M_REFCLK0p       | GXBL1M_RX_CH0P/GXBL1M_REFCLK0P       | FEB_SX_R_P                           | FEB_SX_R_P<32>                      
Y41  | REFCLK_GXBL1M_CHBp                   | REFCLK_GXBL1M_CHBP                   | GND_POWER                            | GND_POWER                           
Y40  | REFCLK_GXBL1M_CHBn                   | REFCLK_GXBL1M_CHBN                   | GND_POWER                            | GND_POWER                           
