%#################################################################
Title:        Basenet Report
Design:       lasp
Date:         Mar 26 12:09:23 2021
%#################################################################


%
Base nets and synonyms for lasp_lib.LASP(@lasp_lib.lasp(sch_1))
%

Base Signal         	Synonyms                                                    	Location([Zone][dir])         
FEB_MX_R_N<17>      	FEB_MX_R_N<17> - @lasp_lib.LASP                             	 57B3 60C3                    
FEB_MX_R_N<18>      	FEB_MX_R_N<18> - @lasp_lib.LASP                             	 57A3 60C3                    
FEB_MX_R_N<19>      	FEB_MX_R_N<19> - @lasp_lib.LASP                             	 57B3 60C3                    
FEB_MX_R_N<20>      	FEB_MX_R_N<20> - @lasp_lib.LASP                             	 57C5 60B4                    
FEB_MX_R_N<21>      	FEB_MX_R_N<21> - @lasp_lib.LASP                             	 57C5 60B4                    
FEB_MX_R_N<22>      	FEB_MX_R_N<22> - @lasp_lib.LASP                             	 57C5 60B4                    
FEB_MX_R_N<23>      	FEB_MX_R_N<23> - @lasp_lib.LASP                             	 57C5 60B4                    
FEB_MX_R_N<24>      	FEB_MX_R_N<24> - @lasp_lib.LASP                             	 57C5 60B4                    
FEB_MX_R_N<25>      	FEB_MX_R_N<25> - @lasp_lib.LASP                             	 57C5 60B4                    
FEB_MX_R_N<26>      	FEB_MX_R_N<26> - @lasp_lib.LASP                             	 57C5 60C4                    
FEB_MX_R_N<27>      	FEB_MX_R_N<27> - @lasp_lib.LASP                             	 57B5 60C4                    
FEB_MX_R_N<28>      	FEB_MX_R_N<28> - @lasp_lib.LASP                             	 57B5 60C4                    
FEB_MX_R_N<29>      	FEB_MX_R_N<29> - @lasp_lib.LASP                             	 57B5 60C4                    
FEB_MX_R_N<30>      	FEB_MX_R_N<30> - @lasp_lib.LASP                             	 57B5 60C4                    
FEB_MX_R_N<31>      	FEB_MX_R_N<31> - @lasp_lib.LASP                             	 57B5 60C4                    
FEB_MX_R_N<32>      	FEB_MX_R_N<32> - @lasp_lib.LASP                             	 57C6 60B6                    
FEB_MX_R_N<33>      	FEB_MX_R_N<33> - @lasp_lib.LASP                             	 57B6 60B6                    
FEB_MX_R_N<34>      	FEB_MX_R_N<34> - @lasp_lib.LASP                             	 57B6 60B6                    
FEB_MX_R_N<35>      	FEB_MX_R_N<35> - @lasp_lib.LASP                             	 57B6 60B6                    
FEB_MX_R_N<36>      	FEB_MX_R_N<36> - @lasp_lib.LASP                             	 57B6 60B6                    
FEB_MX_R_N<37>      	FEB_MX_R_N<37> - @lasp_lib.LASP                             	 57B6 60B6                    
FEB_MX_R_N<38>      	FEB_MX_R_N<38> - @lasp_lib.LASP                             	 57B6 60C6                    
FEB_MX_R_N<39>      	FEB_MX_R_N<39> - @lasp_lib.LASP                             	 57B6 60C6                    
FEB_MX_R_N<40>      	FEB_MX_R_N<40> - @lasp_lib.LASP                             	 57A6 60C6                    
FEB_MX_R_N<41>      	FEB_MX_R_N<41> - @lasp_lib.LASP                             	 57A6 60C6                    
FEB_MX_R_N<42>      	FEB_MX_R_N<42> - @lasp_lib.LASP                             	 57A6 60C6                    
FEB_MX_R_N<43>      	FEB_MX_R_N<43> - @lasp_lib.LASP                             	 57A6 60C6                    
FEB_MX_R_P<0>       	FEB_MX_R_P<0> - @lasp_lib.LASP                              	 57C2 60B1                    
FEB_MX_R_P<1>       	FEB_MX_R_P<1> - @lasp_lib.LASP                              	 57C2 60B1                    
FEB_MX_R_P<2>       	FEB_MX_R_P<2> - @lasp_lib.LASP                              	 57B2 60C1                    
FEB_MX_R_P<3>       	FEB_MX_R_P<3> - @lasp_lib.LASP                              	 57C2 60C1                    
FEB_MX_R_P<4>       	FEB_MX_R_P<4> - @lasp_lib.LASP                              	 57B2 60C1                    
